#please cite:
#Keren Zhou, Junhong Huang, Shurong Liu, Wujian Zheng, Shun Liu, Yinghao Xing, Yinan Cao, Yibo Chen, Xinping Hu, Li Cai, Jie Zhou, Penghui Lin, Jiajia Xuan, Fangzhou Xie, Lahong Xu, Junhao Li, Lingling Zheng, Lianghu Qu, Jianjun Chen, Bin Li, and Jianhua Yang, An Encyclopedic Regulatory and Functional Atlas of RNA Interactomes, Nature Methods (2026).
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	TDMDScore	phyloP	pancancerNum	cellline/tissue
MIMAT0000271	hsa-miR-214-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465679	201465685	201465678	201465706	-	14	0	AGO1,AGO2	1	0	1	1	1	0	0	0.8558	1.813	1	Akata-LCLd3,endothelial
MIMAT0000271	hsa-miR-214-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465712	201465717	201465711	201465739	-	4	0	AGO1,AGO2	1	0	1	1	0	0	0	0.1523	1.284	1	HEK293T,endothelial
MIMAT0000271	hsa-miR-214-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465915	201465921	201465914	201465942	-	1	0	AGO2	1	0	1	1	0	0	0	0.5092	-0.326	1	HeLa
MIMAT0000417	hsa-miR-15b-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465680	201465683	201465676	201465704	-	14	0	AGO1,AGO2	1	0	0	1	1	2	1	0.5388	2.396	18	Akata-LCLd3,endothelial
MIMAT0000417	hsa-miR-15b-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465713	201465718	201465712	201465740	-	3	0	AGO1,AGO2	1	0	0	1	0	0	0	0.7351	1.182	18	HEK293T,endothelial
MIMAT0000421	hsa-miR-122-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465695	201465700	201465695	201465700	-	6	0	AGO1,AGO2	1	0	0	0	0	0	0	0.3318	-0.331	7	HEK293T,endothelial
MIMAT0000421	hsa-miR-122-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465753	201465758	201465753	201465758	-	0	0	NA	1	0	0	0	0	0	0	0.4224	-0.299	7	
MIMAT0000456	hsa-miR-186-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465471	201465477	201465471	201465477	-	0	0	NA	0	0	0	0	0	0	1	0.9734	1.716	19	
MIMAT0000456	hsa-miR-186-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465636	201465641	201465636	201465641	-	3	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	0.7716	2.420	19	HEK293,MCF7
MIMAT0000461	hsa-miR-195-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465677	201465683	201465676	201465704	-	14	0	AGO1,AGO2	1	0	0	1	1	1	1	1.0337	2.370	3	Akata-LCLd3,endothelial
MIMAT0000461	hsa-miR-195-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465713	201465718	201465712	201465740	-	3	0	AGO1,AGO2	1	0	0	1	0	0	0	0.5602	1.182	3	HEK293T,endothelial
MIMAT0000762	hsa-miR-324-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465502	201465507	201465502	201465507	-	0	0	NA	1	0	1	0	0	0	0	0.6341	1.082	14	
MIMAT0000762	hsa-miR-324-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465846	201465851	201465846	201465851	-	2	0	AGO2	1	0	1	0	0	0	0	0.6341	-0.462	14	HEK293T
MIMAT0000762	hsa-miR-324-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201466058	201466063	201466058	201466063	-	0	0	NA	1	0	1	0	0	0	0	0.2927	-0.258	14	
MIMAT0000763	hsa-miR-338-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465711	201465716	201465711	201465716	-	4	0	AGO1,AGO2	1	0	0	0	0	0	0	0.7727	1.320	9	HEK293T,endothelial
MIMAT0001340	hsa-miR-423-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465826	201465831	201465826	201465831	-	2	0	AGO2	1	0	0	0	0	0	0	0.1314	0.153	16	HEK293T
MIMAT0001341	hsa-miR-424-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465677	201465683	201465676	201465704	-	14	0	AGO1,AGO2	1	0	0	1	1	1	1	0.8703	2.370	9	Akata-LCLd3,endothelial
MIMAT0001341	hsa-miR-424-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465713	201465718	201465712	201465740	-	3	0	AGO1,AGO2	1	0	0	1	0	0	0	0.7727	1.182	9	HEK293T,endothelial
MIMAT0001412	hsa-miR-18b-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465730	201465735	201465730	201465735	-	1	0	AGO1	1	0	0	0	0	0	0	1.0900	-0.044	11	endothelial
MIMAT0002807	hsa-miR-491-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465597	201465602	201465597	201465602	-	2	0	AGO1,AGO2	1	0	1	0	0	0	0	-2.3504	0.900	10	HEK293,WA-09
MIMAT0002807	hsa-miR-491-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465618	201465623	201465618	201465623	-	3	0	AGO1,AGO1-4,AGO2	1	0	1	0	0	0	0	-0.1843	0.548	10	HEK293,MCF7,WA-09
MIMAT0002807	hsa-miR-491-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465655	201465660	201465655	201465660	-	4	0	AGO1-4,AGO2	1	0	1	0	0	0	0	0.2416	1.562	10	22RV1,MCF7
MIMAT0002820	hsa-miR-497-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465680	201465683	201465676	201465704	-	14	0	AGO1,AGO2	1	0	0	1	1	2	1	0.6388	2.396	3	Akata-LCLd3,endothelial
MIMAT0002820	hsa-miR-497-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465713	201465718	201465712	201465740	-	3	0	AGO1,AGO2	1	0	0	1	0	0	0	0.7898	1.182	3	HEK293T,endothelial
MIMAT0002833	hsa-miR-520a-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465738	201465745	201465738	201465745	-	1	0	AGO1	1	0	0	0	0	0	0	0.6992	0.747	3	endothelial
MIMAT0002838	hsa-miR-525-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465738	201465745	201465738	201465745	-	1	0	AGO1	1	0	0	0	0	0	0	-0.1905	0.747	4	endothelial
MIMAT0002874	hsa-miR-503-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465677	201465684	201465677	201465684	-	13	0	AGO1,AGO2	1	0	0	0	0	0	0	0.7943	2.150	10	Akata-LCLd3,HEK293
MIMAT0002874	hsa-miR-503-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465713	201465718	201465713	201465718	-	2	0	AGO1,AGO2	1	0	0	0	0	0	0	0.4030	1.182	10	22RV1,endothelial
MIMAT0003294	hsa-miR-625-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465600	201465606	201465600	201465606	-	2	0	AGO1,AGO2	1	0	1	0	0	0	0	0.9767	0.624	11	HEK293,WA-09
MIMAT0003294	hsa-miR-625-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465620	201465626	201465620	201465626	-	3	0	AGO1,AGO1-4,AGO2	1	0	1	0	0	0	0	0.9988	0.330	11	HEK293,MCF7,WA-09
MIMAT0003294	hsa-miR-625-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465840	201465845	201465840	201465845	-	2	0	AGO2	1	0	1	0	0	0	0	0.7816	0.545	11	HEK293T
MIMAT0003296	hsa-miR-627-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465734	201465739	201465734	201465739	-	1	0	AGO1	1	0	0	0	0	0	0	0.4291	1.002	7	endothelial
MIMAT0003330	hsa-miR-654-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465617	201465622	201465617	201465622	-	3	0	AGO1,AGO1-4,AGO2	1	0	1	0	0	0	0	1.6844	0.661	3	HEK293,MCF7,WA-09
MIMAT0003330	hsa-miR-654-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465654	201465659	201465654	201465659	-	4	0	AGO1-4,AGO2	1	0	1	0	0	0	0	0.7273	1.547	3	22RV1,MCF7
MIMAT0003330	hsa-miR-654-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201468365	201468370	201468365	201468370	-	0	0	NA	1	0	1	0	0	0	0	1.0199	0.242	3	
MIMAT0003886	hsa-miR-769-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465685	201465692	201465685	201465692	-	7	0	AGO2	1	0	0	0	0	0	0	0.8115	1.113	16	HEK293T
MIMAT0004682	hsa-miR-361-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465568	201465573	201465568	201465573	-	0	0	NA	1	0	0	0	0	0	0	-0.3357	0.604	6	
MIMAT0004682	hsa-miR-361-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465689	201465696	201465689	201465696	-	7	0	AGO2	1	0	0	0	0	0	0	1.0202	0.804	6	HEK293T
MIMAT0004682	hsa-miR-361-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201466151	201466156	201466151	201466156	-	0	0	NA	1	0	0	0	0	0	0	0.5949	-0.064	6	
MIMAT0004911	hsa-miR-874-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465503	201465508	201465503	201465508	-	0	0	NA	1	0	1	0	0	0	0	0.4934	0.888	7	
MIMAT0004911	hsa-miR-874-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465847	201465852	201465847	201465852	-	2	0	AGO2	1	0	1	0	0	0	0	0.3635	-0.036	7	HEK293T
MIMAT0004911	hsa-miR-874-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201466059	201466064	201466059	201466064	-	0	1	NA	1	0	1	0	0	0	0	1.2516	-0.339	7	
MIMAT0004920	hsa-miR-541-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465617	201465622	201465617	201465622	-	3	0	AGO1,AGO1-4,AGO2	1	0	1	0	0	0	0	1.1230	0.661	1	HEK293,MCF7,WA-09
MIMAT0004920	hsa-miR-541-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465654	201465659	201465654	201465659	-	4	0	AGO1-4,AGO2	1	0	1	0	0	0	0	0.7339	1.547	1	22RV1,MCF7
MIMAT0004920	hsa-miR-541-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201468365	201468370	201468365	201468370	-	0	0	NA	1	0	1	0	0	0	0	0.3086	0.242	1	
MIMAT0004949	hsa-miR-877-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465613	201465618	201465613	201465618	-	2	0	AGO1,AGO2	1	0	0	0	0	0	0	0.9707	1.259	12	HEK293,WA-09
MIMAT0004952	hsa-miR-665	ENSG00000174307	PHLDA3	protein_coding	chr1	201465692	201465698	201465692	201465698	-	8	0	AGO2	1	0	0	0	0	0	0	1.6771	0.073	1	HEK293T
MIMAT0004985	hsa-miR-942-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465724	201465729	201465724	201465729	-	1	0	AGO1	1	0	0	0	0	0	0	0.7351	-0.471	17	endothelial
MIMAT0005789	hsa-miR-513c-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465726	201465733	201465726	201465733	-	1	0	AGO1	1	0	0	0	0	0	0	0.6573	-0.285	2	endothelial
MIMAT0005877	hsa-miR-1286	ENSG00000174307	PHLDA3	protein_coding	chr1	201465681	201465686	201465680	201465708	-	14	0	AGO1,AGO2	1	0	1	1	0	0	0	0.1080	1.436	5	Akata-LCLd3,endothelial
MIMAT0005877	hsa-miR-1286	ENSG00000174307	PHLDA3	protein_coding	chr1	201465894	201465900	201465893	201465921	-	0	0	NA	1	1	1	1	0	0	0	0.4820	0.137	5	
MIMAT0005877	hsa-miR-1286	ENSG00000174307	PHLDA3	protein_coding	chr1	201465906	201465912	201465905	201465933	-	0	0	NA	1	1	1	1	0	0	0	0.7747	0.486	5	
MIMAT0005885	hsa-miR-1295a	ENSG00000174307	PHLDA3	protein_coding	chr1	201465706	201465711	201465706	201465711	-	4	0	AGO1,AGO2	1	0	0	0	0	0	0	0.4413	0.620	6	HEK293T,endothelial
MIMAT0005951	hsa-miR-1307-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465827	201465832	201465827	201465832	-	2	0	AGO2	1	0	0	0	0	0	0	0.9467	0.167	13	HEK293T
MIMAT0007888	hsa-miR-1913	ENSG00000174307	PHLDA3	protein_coding	chr1	201465502	201465507	201465502	201465507	-	0	0	NA	0	0	1	0	0	0	0	0.6630	1.082	5	
MIMAT0007888	hsa-miR-1913	ENSG00000174307	PHLDA3	protein_coding	chr1	201465846	201465851	201465846	201465851	-	2	0	AGO2	0	0	1	0	0	0	0	1.6700	-0.462	5	HEK293T
MIMAT0007888	hsa-miR-1913	ENSG00000174307	PHLDA3	protein_coding	chr1	201466058	201466063	201466058	201466063	-	0	0	NA	0	0	1	0	0	0	0	1.2044	-0.258	5	
MIMAT0010364	hsa-miR-761	ENSG00000174307	PHLDA3	protein_coding	chr1	201465679	201465685	201465678	201465706	-	14	0	AGO1,AGO2	0	0	1	1	0	0	0	0.6485	1.813	0	Akata-LCLd3,endothelial
MIMAT0010364	hsa-miR-761	ENSG00000174307	PHLDA3	protein_coding	chr1	201465712	201465717	201465711	201465739	-	4	0	AGO1,AGO2	0	0	1	1	0	0	0	0.2553	1.284	0	HEK293T,endothelial
MIMAT0010364	hsa-miR-761	ENSG00000174307	PHLDA3	protein_coding	chr1	201465915	201465921	201465914	201465942	-	1	0	AGO2	0	0	1	1	0	0	0	0.3770	-0.326	0	HeLa
MIMAT0017999	hsa-miR-3619-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465679	201465685	201465678	201465706	-	14	0	AGO1,AGO2	0	0	1	1	0	0	0	0.8825	1.813	2	Akata-LCLd3,endothelial
MIMAT0017999	hsa-miR-3619-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465712	201465717	201465711	201465739	-	4	0	AGO1,AGO2	0	0	1	1	0	0	0	0.6097	1.284	2	HEK293T,endothelial
MIMAT0017999	hsa-miR-3619-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465915	201465921	201465914	201465942	-	1	0	AGO2	0	1	1	1	0	0	0	1.0399	-0.326	2	HeLa
MIMAT0017999	hsa-miR-3619-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201468352	201468380	201468352	201468380	-	0	0	NA	0	0	0	1	0	0	0	1.0414	-0.156	2	
MIMAT0018980	hsa-miR-4458	ENSG00000174307	PHLDA3	protein_coding	chr1	201465615	201465621	201465615	201465621	-	3	0	AGO1,AGO1-4,AGO2	0	0	0	0	0	1	0	1.4582	1.078	1	HEK293,MCF7,WA-09
MIMAT0019064	hsa-miR-4525	ENSG00000174307	PHLDA3	protein_coding	chr1	201465620	201465625	201465620	201465625	-	3	0	AGO1,AGO1-4,AGO2	0	0	1	0	0	0	0	0.3500	0.313	1	HEK293,MCF7,WA-09
MIMAT0019064	hsa-miR-4525	ENSG00000174307	PHLDA3	protein_coding	chr1	201465840	201465845	201465840	201465845	-	2	0	AGO2	0	0	1	0	0	0	0	0.9466	0.545	1	HEK293T
MIMAT0019899	hsa-miR-4756-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465918	201465941	201465918	201465941	-	1	0	AGO2	0	1	0	0	0	0	0	0.9554	-0.084	2	HeLa
MIMAT0021043	hsa-miR-5010-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465620	201465625	201465620	201465625	-	3	0	AGO1,AGO1-4,AGO2	0	0	1	0	0	0	0	1.1002	0.313	2	HEK293,MCF7,WA-09
MIMAT0021043	hsa-miR-5010-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465840	201465845	201465840	201465845	-	2	0	AGO2	0	0	1	0	0	0	0	0.4146	0.545	2	HEK293T
MIMAT0027578	hsa-miR-6838-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465677	201465683	201465677	201465683	-	13	0	AGO1,AGO2	0	0	0	0	0	0	1	1.2649	2.370	1	Akata-LCLd3,HEK293
